Channel,Date,New fans,Region,Fans
Instagram,18/12/2014 0:00,3,New Zealand,1635
Instagram,18/12/2014 0:00,1,Singapore,4028
Twitter,18/12/2014 0:00,8,Australia,4628
Twitter,18/12/2014 0:00,15,India,9759
Twitter,18/12/2014 0:00,-101,Indonesia,104125
Twitter,18/12/2014 0:00,2,Malaysia,4468
Twitter,18/12/2014 0:00,1,New Zealand,4868
Twitter,18/12/2014 0:00,2,Philippines,2551
Twitter,18/12/2014 0:00,27,Singapore,285
Facebook,19/12/2014 0:00,37,Australia,111622
Facebook,19/12/2014 0:00,254,India,338479
Facebook,19/12/2014 0:00,38,Indonesia,288852
Facebook,19/12/2014 0:00,31,Malaysia,210395
Facebook,19/12/2014 0:00,168,New Zealand,27962
Facebook,19/12/2014 0:00,13,Philippines,50400
Facebook,19/12/2014 0:00,16,Singapore,86420
Instagram,19/12/2014 0:00,-124,Australia,16738
Instagram,19/12/2014 0:00,68,India,13613
Instagram,19/12/2014 0:00,23,Indonesia,36350
Instagram,19/12/2014 0:00,337,Malaysia,7838
Instagram,19/12/2014 0:00,-52,New Zealand,1583
Instagram,19/12/2014 0:00,-114,Singapore,3914
Twitter,19/12/2014 0:00,2,Australia,4630
Twitter,19/12/2014 0:00,20,India,9779
Twitter,19/12/2014 0:00,-15,Indonesia,104110
Twitter,19/12/2014 0:00,6,Malaysia,4474
Twitter,19/12/2014 0:00,4,New Zealand,4872
Twitter,19/12/2014 0:00,0,Philippines,2551
Twitter,19/12/2014 0:00,12,Singapore,297
Facebook,20/12/2014 0:00,34,Australia,111656
Facebook,20/12/2014 0:00,231,India,338710
Facebook,20/12/2014 0:00,24,Indonesia,288876
Facebook,20/12/2014 0:00,39,Malaysia,210434
Facebook,20/12/2014 0:00,22,New Zealand,27984
Facebook,20/12/2014 0:00,21,Philippines,50421
Facebook,20/12/2014 0:00,5,Singapore,86425
Instagram,20/12/2014 0:00,16,Australia,16754
Instagram,20/12/2014 0:00,58,India,13671
Instagram,20/12/2014 0:00,50,Indonesia,36400
Instagram,20/12/2014 0:00,22,Malaysia,7860
Instagram,20/12/2014 0:00,4,New Zealand,1587
Instagram,20/12/2014 0:00,13,Singapore,3927
Twitter,20/12/2014 0:00,3,Australia,4633
Twitter,20/12/2014 0:00,13,India,9792
Twitter,20/12/2014 0:00,16,Indonesia,104126
Twitter,20/12/2014 0:00,1,Malaysia,4475
Twitter,20/12/2014 0:00,1,New Zealand,4873
Twitter,20/12/2014 0:00,0,Philippines,2551
Twitter,20/12/2014 0:00,15,Singapore,312
Facebook,21/12/2014 0:00,16,Australia,111672
Facebook,21/12/2014 0:00,295,India,339005
Facebook,21/12/2014 0:00,32,Indonesia,288908
Facebook,21/12/2014 0:00,39,Malaysia,210473
Facebook,21/12/2014 0:00,42,New Zealand,28026
Facebook,21/12/2014 0:00,17,Philippines,50438
Facebook,21/12/2014 0:00,12,Singapore,86437
Instagram,21/12/2014 0:00,41,Australia,16795
Instagram,21/12/2014 0:00,87,India,13758
Instagram,21/12/2014 0:00,58,Indonesia,36458
Instagram,21/12/2014 0:00,40,Malaysia,7900
Instagram,21/12/2014 0:00,9,New Zealand,1596
Instagram,21/12/2014 0:00,14,Singapore,3941
Twitter,21/12/2014 0:00,-2,Australia,4631
Twitter,21/12/2014 0:00,9,India,9801
Twitter,21/12/2014 0:00,13,Indonesia,104139
Twitter,21/12/2014 0:00,3,Malaysia,4478
Twitter,21/12/2014 0:00,2,New Zealand,4875
Twitter,21/12/2014 0:00,-1,Philippines,2550
Twitter,21/12/2014 0:00,4,Singapore,316
Facebook,22/12/2014 0:00,124,Australia,111796
Facebook,22/12/2014 0:00,287,India,339292
Facebook,22/12/2014 0:00,25,Indonesia,288933
Facebook,22/12/2014 0:00,41,Malaysia,210514
Facebook,22/12/2014 0:00,96,New Zealand,28122
Facebook,22/12/2014 0:00,5,Philippines,50443
Facebook,22/12/2014 0:00,15,Singapore,86452
Instagram,22/12/2014 0:00,12,Australia,16807
Instagram,22/12/2014 0:00,47,India,13805
Instagram,22/12/2014 0:00,66,Indonesia,36524
Instagram,22/12/2014 0:00,15,Malaysia,7915
Instagram,22/12/2014 0:00,11,New Zealand,1607
Instagram,22/12/2014 0:00,0,Singapore,3941
Twitter,22/12/2014 0:00,2,Australia,4633
Twitter,22/12/2014 0:00,7,India,9808
Twitter,22/12/2014 0:00,-57,Indonesia,104082
Twitter,22/12/2014 0:00,3,Malaysia,4481
Twitter,22/12/2014 0:00,-1,New Zealand,4874
Twitter,22/12/2014 0:00,0,Philippines,2550
Twitter,22/12/2014 0:00,-1,Singapore,315
Facebook,23/12/2014 0:00,14,Australia,111810
Facebook,23/12/2014 0:00,248,India,339540
Facebook,23/12/2014 0:00,25,Indonesia,288958
Facebook,23/12/2014 0:00,30,Malaysia,210544
Facebook,23/12/2014 0:00,44,New Zealand,28166
Facebook,23/12/2014 0:00,25,Philippines,50468
Facebook,23/12/2014 0:00,12,Singapore,86464
Instagram,23/12/2014 0:00,13,Australia,16820
Instagram,23/12/2014 0:00,47,India,13852
Instagram,23/12/2014 0:00,97,Indonesia,36621
Instagram,23/12/2014 0:00,11,Malaysia,7926
Instagram,23/12/2014 0:00,4,New Zealand,1611
